,app,tec,house,recall,accuracy,precision,f1,TP,TN,FP,FN,P,N
0,kettle,ANN,2,0.610459146252017,0.9957326695115537,0.8842026983958355,0.7222632012843321,8323,1485277,1090,5311,13634,1486367
1,kettle,CNN,2,0.9521050315388001,0.999113333924444,0.9504319812564065,0.9512677707753188,12981,1485690,677,653,13634,1486367
2,kettle,GRU,2,0.7486430981370105,0.99743533504311,0.9604780276653806,0.8414327521536623,10207,1485947,420,3427,13634,1486367
3,kettle,logisticRegression,2,0.33431128062197446,0.9937046708635527,0.9254822335025381,0.4911902580958026,4558,1486000,367,9076,13634,1486367
4,kettle,KNN,2,0.6385506821182338,0.9962746691502206,0.9295323510570147,0.7570434782608697,8706,1485707,660,4928,13634,1486367
5,kettle,SVM,2,0.1647352207716004,0.9922706718195521,0.9159869494290375,0.27924903642919313,2246,1486161,206,11388,13634,1486367
6,kettle,SGD,2,0.9449171189672877,0.9988420007719995,0.9289061936693345,0.9368432534632586,12883,1485381,986,751,13634,1486367
7,kettle,randomForest,2,0.4136717030952032,0.9943560037626642,0.9227748691099477,0.5712549377089031,5640,1485895,472,7994,13634,1486367
8,kettle,perceptron,2,0.10627842159307613,0.991770005486663,0.9005593536357986,0.19012005510726232,1449,1486207,160,12185,13634,1486367
9,toaster,logisticRegression,2,0.0,0.9995420003053331,0.0,0.0,0,1499314,683,4,4,1499997
10,toaster,KNN,2,0.0,0.9955826696115536,0.0,0.0,0,1493375,6622,4,4,1499997
11,toaster,SVM,2,0.0,0.9999973333351111,0.0,0.0,0,1499997,0,4,4,1499997
12,toaster,SGD,2,0.0,0.9910286726475516,0.0,0.0,0,1486544,13453,4,4,1499997
13,toaster,randomForest,2,0.0,0.9987993341337772,0.0,0.0,0,1498200,1797,4,4,1499997
14,toaster,perceptron,2,0.0,0.9999973333351111,0.0,0.0,0,1499997,0,4,4,1499997
15,dish washer,logisticRegression,2,0.004613714492491406,0.991266672488885,0.023743016759776536,0.007726102105741554,51,1486850,2097,11003,11054,1488947
16,dish washer,KNN,2,0.010132078885471322,0.9920040053306631,0.09621993127147767,0.018333606154853493,112,1487895,1052,10942,11054,1488947
17,dish washer,SVM,2,0.004613714492491406,0.9914766723488851,0.027823240589198037,0.007914953053464732,51,1487165,1782,11003,11054,1488947
18,dish washer,SGD,2,0.005880224353175321,0.9857846761435493,0.006250601019328781,0.006059758541928868,65,1478613,10334,10989,11054,1488947
19,dish washer,randomForest,2,0.0034376696218563416,0.9917626721582186,0.027576197387518143,0.006113256113256113,38,1487607,1340,11016,11054,1488947
20,dish washer,perceptron,2,0.32142210964356793,0.9830600112933258,0.16554841114528002,0.2185385656292287,3553,1471038,17909,7501,11054,1488947
